,Error,Atom Type
4_methylpyridine,-1.643363,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc']"
n_butylamine,0.276171,"['c3', 'c3', 'c3', 'c3', 'n3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'hn', 'hn']"
2_nitropropane,-0.342877,"['c3', 'c3', 'c3', 'no', 'o', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1']"
hydrazine,4.011031,"['n3', 'n3', 'hn', 'hn', 'hn', 'hn']"
n_butyl_acetate,1.622667,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
hexan_1_ol,-0.537119,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']"
112_trichloroethane,-0.483503,"['c3', 'c3', 'cl', 'cl', 'cl', 'h1', 'h1', 'h2']"
2_bromopropane,-0.321599,"['c3', 'c3', 'c3', 'br', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1']"
thiophene,-0.725618,"['cc', 'cc', 'cd', 'cd', 'ss', 'ha', 'ha', 'h4', 'h4']"
pentan_3_one,0.787094,"['c', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
m_xylene,-0.750229,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
o_cresol,-1.553422,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'oh', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'ho']"
2_methoxyethanol,1.030733,"['c3', 'c3', 'c3', 'oh', 'os', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'ho']"
dimethyl_disulfide,-1.448105,"['c3', 'c3', 'ss', 'ss', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']"
3_methylpyridine,-1.494686,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc']"
acetonitrile,0.384061,"['c1', 'c3', 'n1', 'hc', 'hc', 'hc']"
methyl_propanoate,1.287617,"['c', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'hc', 'hc']"
but_1_ene,0.667856,"['c2', 'c2', 'c3', 'c3', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'hc', 'hc']"
butanenitrile,0.168292,"['c1', 'c3', 'c3', 'c3', 'n1', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']"
