,Error,Atom Type,,,,,,,,acetic_acid,"['c', 'c3', 'o', 'oh', 'hc', 'hc', 'hc', 'ho']"
acetonitrile,0.49502,"['c1', 'c3', 'n1', 'hc', 'hc', 'hc']",,,,,,,,,
methyl_propanoate,0.416754,"['c', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'hc', 'hc']",,,,,,,,,
cyclohexane,-0.436641,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
benzonitrile,-1.220281,"['cg', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'n1', 'ha', 'ha', 'ha', 'ha', 'ha']",,,,,,,,,
nitrobenzene,-2.330155,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'no', 'o', 'o', 'ha', 'ha', 'ha', 'ha', 'ha']",,,,,,,,,
m_xylene,-0.726615,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
propane,0.75092,"['c3', 'c3', 'c3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
m_cresol,-0.424621,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'oh', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'ho']",,,,,,,,,
methyl_acetate,0.447677,"['c', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1']",,,,,,,,,
o_xylene,-0.935891,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
trichloroethene,-1.032114,"['c2', 'c2', 'cl', 'cl', 'cl', 'h4']",,,,,,,,,
fluorobenzene,0.102867,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'f', 'ha', 'ha', 'ha', 'ha', 'ha']",,,,,,,,,
26_dimethylpyridine,-0.655294,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'nb', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
111_trichloroethane,-0.610745,"['c3', 'c3', 'cl', 'cl', 'cl', 'hc', 'hc', 'hc']",,,,,,,,,
acetic_acid,1.266428,"['c', 'c3', 'o', 'oh', 'hc', 'hc', 'hc', 'ho']",,,,,,,,,
pentan_1_ol,1.102917,"['c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'ho']",,,,,,,,,
pyridine,-0.892564,"['ca', 'ca', 'ca', 'ca', 'ca', 'nb', 'ha', 'ha', 'ha', 'h4', 'h4']",,,,,,,,,
NN_dimethylformamide,-0.31758,"['c', 'c3', 'c3', 'n', 'o', 'h5', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']",,,,,,,,,
2_methylpropan_2_ol,1.015408,"['c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'ho']",,,,,,,,,
propanoic_acid,-0.204571,"['c', 'c3', 'c3', 'o', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'ho']",,,,,,,,,
14_dichlorobenzene,-1.518095,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'cl', 'cl', 'ha', 'ha', 'ha', 'ha']",,,,,,,,,
14_dioxane,-0.61456,"['c3', 'c3', 'c3', 'c3', 'os', 'os', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']",,,,,,,,,
propanone,0.474132,"['c', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
heptan_1_ol,0.037548,"['c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'oh', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
iodobenzene,-2.031445,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'i', 'ha', 'ha', 'ha', 'ha', 'ha']",,,,,,,,,
tetrahydropyran,-0.616586,"['c3', 'c3', 'c3', 'c3', 'c3', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'h1']",,,,,,,,,
diethylamine,0.678606,"['c3', 'c3', 'c3', 'c3', 'n3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'h1', 'hn']",,,,,,,,,
anisole,-0.936002,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'os', 'ha', 'ha', 'ha', 'ha', 'ha', 'h1', 'h1', 'h1']",,,,,,,,,
ethyl_acetate,0.778308,"['c', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']",,,,,,,,,
nitromethane,-0.498403,"['c3', 'no', 'o', 'o', 'h1', 'h1', 'h1']",,,,,,,,,
4_hydroxybenzaldehyde,-2.19235,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c', 'o', 'oh', 'ha', 'ha', 'ha', 'ha', 'h4', 'ho']",,,,,,,,,
n_butane,0.631424,"['c3', 'c3', 'c3', 'c3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
n_propanethiol,0.47601,"['c3', 'c3', 'c3', 'sh', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'hs']",,,,,,,,,
n_propyl_acetate,0.659263,"['c', 'c3', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']",,,,,,,,,
benzaldehyde,-1.366914,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c', 'o', 'ha', 'ha', 'ha', 'ha', 'ha', 'h4']",,,,,,,,,
trimethylamine,0.532627,"['c3', 'c3', 'c3', 'n3', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']",,,,,,,,,
acetophenone,-1.320292,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c', 'c3', 'o', 'ha', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc']",,,,,,,,,
pyrrole,-0.699678,"['cc', 'cc', 'cd', 'cd', 'na', 'ha', 'ha', 'h4', 'h4', 'hn']",,,,,,,,,
4_bromophenol,-2.401668,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'oh', 'br', 'ha', 'ha', 'ha', 'ha', 'ho']",,,,,,,,,
n_pentane,0.640862,"['c3', 'c3', 'c3', 'c3', 'c3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
benzamide,-3.83848,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c', 'n', 'o', 'ha', 'ha', 'ha', 'ha', 'ha', 'hn', 'hn']",,,,,,,,,
pentan_2_one,0.251631,"['c', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
quinoline,-2.484875,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'nb', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha', 'h4']",,,,,,,,,
heptan_2_one,0.282566,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
aniline,-1.43218,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'nh', 'ha', 'ha', 'ha', 'ha', 'ha', 'hn', 'hn']",,,,,,,,,
