test_lambda_0.0,0.000000,-147.113073,-149.632355,2.519282
test_lambda_0.1,0.000000,-140.443501,-142.962784,2.519282
test_lambda_0.2,0.000000,-146.004748,-148.524030,2.519282
test_lambda_0.3,0.000000,-148.033652,-150.552934,2.519282
test_lambda_0.4,0.000000,-146.047079,-148.566362,2.519282
test_lambda_0.5,0.000000,-147.748921,-150.268203,2.519282
test_lambda_0.6,0.000000,-142.089911,-144.609193,2.519282
test_lambda_0.7,0.000000,-148.686299,-151.205581,2.519282
test_lambda_0.8,0.000000,-149.006090,-151.525372,2.519282
test_lambda_0.9,0.000000,-148.521807,-151.041089,2.519282
test_lambda_0.0,0.000000,-149.982082,-152.501364,2.519282
test_lambda_0.1,0.000000,-145.314324,-147.833606,2.519282
test_lambda_0.2,0.000000,-151.272829,-153.792112,2.519282
test_lambda_0.3,0.000000,-151.188351,-153.707633,2.519282
test_lambda_0.4,0.000000,-148.785074,-151.304356,2.519282
test_lambda_0.5,0.000000,-150.281698,-152.800980,2.519282
test_lambda_0.6,0.000000,-151.124691,-153.643973,2.519282
test_lambda_0.7,0.000000,-151.110253,-153.629535,2.519282
test_lambda_0.8,0.000000,-151.383097,-153.902380,2.519282
test_lambda_0.9,0.000000,-151.184902,-153.704184,2.519282
test_lambda_0.0,0.000000,-149.982082,-152.501364,2.519282
test_lambda_0.1,0.000000,-145.314324,-147.833606,2.519282
test_lambda_0.2,0.000000,-151.272829,-153.792112,2.519282
test_lambda_0.3,0.000000,-151.188351,-153.707633,2.519282
test_lambda_0.4,0.000000,-148.785074,-151.304356,2.519282
test_lambda_0.5,0.000000,-150.281698,-152.800980,2.519282
test_lambda_0.6,0.000000,-151.124691,-153.643973,2.519282
test_lambda_0.7,0.000000,-151.110253,-153.629535,2.519282
test_lambda_0.8,0.000000,-151.383097,-153.902380,2.519282
test_lambda_0.9,0.000000,-151.184902,-153.704184,2.519282
test_lambda_1.0,0.000000,-802.533516,-805.052799,2.519282
test_lambda_0.0,0.000000,-147.113073,-149.632355,2.519282
test_lambda_0.1,0.000000,-140.443501,-142.962784,2.519282
test_lambda_0.2,0.000000,-146.004748,-148.524030,2.519282
test_lambda_0.3,0.000000,-148.033652,-150.552934,2.519282
test_lambda_0.4,0.000000,-146.047079,-148.566362,2.519282
test_lambda_0.5,0.000000,-147.748921,-150.268203,2.519282
test_lambda_0.6,0.000000,-142.089911,-144.609193,2.519282
test_lambda_0.7,0.000000,-148.686299,-151.205581,2.519282
test_lambda_0.8,0.000000,-149.006090,-151.525372,2.519282
test_lambda_0.9,0.000000,-148.521807,-151.041089,2.519282
test_lambda_1.0,0.000000,-412.181277,-414.700559,2.519282
